RA[deg] Ê Ê Ê,Dec[deg] Ê
157.178,24.702
330.682,9.471
150.113,3.011
11.264,-56.372
355.736,-26.751
354.56,-62.463
281.855,-47.696
229.801,-24.065
357.905,-25.925
116.603,-10.269
18.432,80.305
335.611,-13.927
347.93,45.864
37.53,9.414
181.805,0.605
337.904,0.518
26.386,-12.956
66.878,6.058
208.505,35.918
276.448,4.649
326.325,26.391
151.285,-3.196
81.526,63.335
89.776,-66.124
56.902,12.089
147.409,-32.876
323.233,-41.402
295.16,-19.467
305.825,-41.225
227.352,-32.623
225.057,-23.457
251.54,-13.394
159.559,2.476
309.71,-70.67
141.585,11.965
342.536,19.118
245.019,-46.602
109.566,27.969
31.258,-16.909
168.315,3.789
33.648,-34.072
82.463,-42.304
130.685,37.554
66.56,-60.203
315.611,-16.002
327.688,-8.931
283.428,-67.555
330.139,-21.001
4.119,-11.438
304.349,-21.32
26.37,38.415
148.743,-3.553
203.317,-51.588
89.84,-69.91
